	"Phages, Prophages, Transposable Elements, and Plasmids"	Metabolism of Aromatic Compounds	Potassium metabolism	Photosynthesis	Iron acquisition and metabolism	Secondary Metabolism	Protein Metabolism	Respiration	Carbohydrates	"Virulence, Disease and Defense"	RNA Metabolism	Phosphorus Metabolism	"Cofactors, Vitamins, Prosthetic Groups, and Pigments"	Cell Division and Cell Cycle	Miscellaneous	Membrane Transport	Cell Wall and Capsule	Regulation and Cell signaling	NA	Motility and Chemotaxis	Sulfur Metabolism	Stress Response	Dormancy and Sporulation	Clustering-based subsystems	"Fatty Acids, Lipids, and Isoprenoids"	Amino Acids and Derivatives	Nucleosides and Nucleotides	Nitrogen Metabolism	DNA Metabolism
S_86	4	0	1	0	0	0	4	0	1	1	3	1	1	1	0	0	0	1	17	0	0	4	0	1	0	1	3	0	2
S_87	5	7	1	1	1	2	16	12	37	10	11	2	12	2	2	6	15	4	171	2	3	14	2	31	9	23	9	5	5
S_88	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S_8	6	8	2	1	1	1	16	10	35	8	11	2	9	2	2	5	15	4	148	2	2	14	2	29	6	19	9	2	5
S_90	3	8	1	0	2	1	15	13	37	8	9	2	10	3	2	7	15	7	149	4	4	15	1	27	7	20	7	1	4
S_91	2	3	1	1	0	2	14	6	28	7	11	1	7	2	1	4	16	5	115	2	2	6	1	24	5	16	6	2	4
S_92	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	4	0	0	0	0	0	1	0	1	0	0
S_93	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0
S_94	2	2	1	0	0	1	8	8	14	4	6	1	8	1	0	3	7	5	87	3	4	9	0	14	5	12	8	0	6
S_95	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S_96	4	7	1	1	3	1	15	10	33	8	8	2	12	2	2	6	14	7	127	4	5	16	0	27	8	18	7	2	5
S_97	2	3	1	1	0	0	7	1	4	4	5	0	4	1	1	3	4	2	49	0	1	1	0	3	2	6	5	0	2
S_98	1	1	0	0	0	2	9	6	19	6	2	1	7	0	0	3	10	4	72	1	1	6	0	10	5	15	3	1	2
S_99	4	7	1	1	3	2	16	11	37	7	9	2	10	3	2	8	11	7	138	4	3	17	0	30	8	19	6	2	4
S_9	5	9	2	1	0	0	17	10	32	8	11	2	8	3	2	4	12	4	142	2	2	12	2	23	7	20	9	2	7
