	S2.2016.N0	S2.2016.N400	S2.2017.N400	S5.2016.N0	S5.2016.N400	S5.2017.N0	S5.2017.N400

k127_17533346_M_bin.105_5	0	0	0	0	0	0	0	

k127_17533346_M_bin.105_6	0	0	0	0	0	0	0	

k127_17533346_M_bin.105_7	0	0	0	0	0	0	0	

k127_17533346_M_bin.105_8	0	0	0	0	0	0	0	

k127_17533578_S_bin.28_1	0	0	0	0	0	0	0	

k127_17533578_S_bin.28_2	0	0	0	0	0	0	0	

k127_17533578_S_bin.28_3	0	0	0	0	0	0	0	

k127_17533578_S_bin.28_4	0	0	0	0	0	0	0	

k127_17533578_S_bin.28_5	0	0	0	0	0	0	0	

k127_17533578_S_bin.28_6	0	0	0	0	0	0	0	

k127_17535601_M_bin.60_1	0	0	0	0	0	0	0	

k127_17535601_M_bin.60_10	0	0	0	0	0	0	0	

k127_17535601_M_bin.60_11	0	0	0	0	0	0	0	

k127_17535601_M_bin.60_12	0	0	0	0	0	0	0	

k127_17535601_M_bin.60_13	0	0	0	0	0	0	0	

k127_17535601_M_bin.60_14	0	0	0	0	0	0	0	

k127_17535601_M_bin.60_15	1	0	0	0	0	0	0	

k127_17535601_M_bin.60_16	0	0	0	0	0	0	0	

k127_17535601_M_bin.60_17	1	3	6	1	3	1	0	

k127_17535601_M_bin.60_18	0	0	0	0	0	0	0	

k127_17535601_M_bin.60_2	0	0	0	0	0	0	0	

k127_17535601_M_bin.60_3	0	0	0	0	0	0	0	

k127_17535601_M_bin.60_4	0	0	0	0	0	0	0	

k127_17535601_M_bin.60_5	0	0	0	0	0	0	0	

k127_17535601_M_bin.60_6	0	0	0	0	0	0	0	

k127_17535601_M_bin.60_7	0	0	0	0	0	0	0	

k127_17535601_M_bin.60_8	0	0	0	0	0	0	0	

k127_17535601_M_bin.60_9	0	0	0	0	0	0	0	

k127_17540131_M_bin.8_1	0	0	0	0	0	0	0	

k127_17540131_M_bin.8_2	0	0	0	0	0	0	0	

k127_17540131_M_bin.8_3	0	0	0	0	0	0	0	

k127_17540131_M_bin.8_4	0	0	0	0	0	0	0	

k127_17544445_S_bin.61_1	0	0	0	0	0	0	0	

k127_17544445_S_bin.61_10	0	0	0	0	0	0	0	

k127_17544445_S_bin.61_11	0	0	0	0	0	0	0	

k127_17544445_S_bin.61_12	0	0	0	0	0	0	0	

k127_17544445_S_bin.61_13	0	0	0	0	0	0	0	

k127_17544445_S_bin.61_14	0	0	0	0	0	0	0	

k127_17544445_S_bin.61_15	0	0	0	0	0	0	0	

k127_17544445_S_bin.61_2	0	0	0	0	0	0	0	

k127_17544445_S_bin.61_3	0	1	1	1	2	1	1	

k127_17544445_S_bin.61_4	0	0	0	0	0	0	0	

k127_17544445_S_bin.61_5	0	0	0	0	0	0	0	

k127_17544445_S_bin.61_6	0	0	0	0	0	0	0	

k127_17544445_S_bin.61_7	0	0	0	0	0	0	0	

k127_17544445_S_bin.61_8	0	0	0	0	0	0	0	

k127_17544445_S_bin.61_9	0	0	0	0	0	0	0	

k127_17548036_M_bin.47_1	0	0	0	0	0	0	0	

k127_17548036_M_bin.47_10	0	0	0	0	0	0	0	

k127_17548036_M_bin.47_2	0	0	0	0	0	0	0	

k127_17548036_M_bin.47_3	0	0	0	0	0	0	0	

k127_17548036_M_bin.47_4	0	0	0	0	0	0	0	

k127_17548036_M_bin.47_5	0	0	0	0	0	0	0	

k127_17548036_M_bin.47_6	0	0	0	0	0	0	0	

k127_17548036_M_bin.47_7	0	0	0	0	0	0	0	

k127_17548036_M_bin.47_8	0	0	0	0	0	0	0	

k127_17548036_M_bin.47_9	0	0	0	0	0	0	0	

k127_17548863_M_bin.47_1	0	0	0	0	0	0	0	

k127_17548863_M_bin.47_2	0	0	0	0	0	0	0	

k127_17548863_M_bin.47_3	0	0	0	0	0	0	0	

k127_17548863_M_bin.47_4	0	0	0	0	0	0	0	

k127_17550065_M_bin.50_1	0	0	0	0	0	0	0	

k127_17550065_M_bin.50_10	0	0	0	0	0	0	0	

k127_17550065_M_bin.50_11	0	0	0	0	0	0	0	

k127_17550065_M_bin.50_2	0	0	0	0	0	0	0	

k127_17550065_M_bin.50_3	0	0	0	0	0	1	0	

k127_17550065_M_bin.50_4	0	0	0	0	0	0	1	

k127_17550065_M_bin.50_5	0	0	0	0	0	0	0	

k127_17550065_M_bin.50_6	0	0	0	0	0	0	0	

k127_17550065_M_bin.50_7	0	0	0	0	0	0	0	

k127_17550065_M_bin.50_8	18	21	16	17	10	23	12	

k127_17550065_M_bin.50_9	0	0	0	0	0	0	0	

k127_17550163_M_bin.105_1	0	0	0	0	0	0	0	

k127_17550163_M_bin.105_2	0	0	0	0	0	0	0	

k127_17550163_M_bin.105_3	0	0	0	0	0	0	0	

k127_17550163_M_bin.105_4	0	0	0	0	0	0	0	

k127_17550163_M_bin.105_5	4	3	3	2	2	1	1	

k127_17550163_M_bin.105_6	0	0	0	0	0	0	0	

k127_17550163_M_bin.105_7	0	0	0	0	0	0	0	

k127_17550163_M_bin.105_8	0	0	0	0	0	0	0	

k127_17552_S_bin.27_1	2	2	4	1	2	2	2	

k127_17552_S_bin.27_10	0	0	0	0	0	0	0	

k127_17552_S_bin.27_11	0	0	0	0	0	0	0	

k127_17552_S_bin.27_12	0	0	0	0	0	0	0	

k127_17552_S_bin.27_13	0	0	0	0	0	0	0	

k127_17552_S_bin.27_14	0	0	0	0	0	0	0	

k127_17552_S_bin.27_15	0	0	0	0	0	0	0	

k127_17552_S_bin.27_2	2	2	2	0	2	2	2	

k127_17552_S_bin.27_3	0	0	3	1	1	1	0	

k127_17552_S_bin.27_4	0	0	0	0	0	0	0	

k127_17552_S_bin.27_5	0	0	0	0	0	0	0	

k127_17552_S_bin.27_6	0	0	0	0	0	0	0	

k127_17552_S_bin.27_7	0	0	0	0	0	0	0	

k127_17552_S_bin.27_8	0	0	0	0	0	0	0	

k127_17552_S_bin.27_9	0	0	0	0	0	0	0	

k127_17555209_M_bin.12_1	0	0	0	0	0	0	0	

k127_17555209_M_bin.12_2	0	0	0	0	0	0	0	

k127_17555209_M_bin.12_3	0	0	0	0	0	0	0	

k127_17555209_M_bin.12_4	0	0	0	0	0	0	0	

k127_17555209_M_bin.12_5	0	0	0	0	0	0	0	

k127_17560360_S_bin.61_1	0	0	0	0	0	0	0	

k127_17560360_S_bin.61_10	0	0	0	0	0	0	0	

k127_17560360_S_bin.61_11	0	0	0	0	0	0	0	

k127_17560360_S_bin.61_12	0	0	0	0	0	0	0	

k127_17560360_S_bin.61_13	0	0	0	0	0	0	0	

k127_17560360_S_bin.61_14	0	0	0	0	0	0	0	

k127_17560360_S_bin.61_2	0	0	0	0	0	0	0	

k127_17560360_S_bin.61_3	0	0	0	0	0	0	0	

k127_17560360_S_bin.61_4	0	0	0	0	0	0	0	

k127_17560360_S_bin.61_5	0	0	0	0	0	0	0	

k127_17560360_S_bin.61_6	0	0	0	0	0	0	0	

k127_17560360_S_bin.61_7	0	0	0	0	0	0	0	

k127_17560360_S_bin.61_8	0	0	0	0	0	0	0	

k127_17560360_S_bin.61_9	0	0	0	0	0	0	0	

k127_17562557_M_bin.47_1	0	0	0	0	0	0	0	

k127_17562557_M_bin.47_2	0	0	0	0	0	0	0	

k127_17562557_M_bin.47_3	0	0	0	0	0	0	0	

k127_17562557_M_bin.47_4	0	0	0	0	0	0	0	

k127_17564300_S_bin.29_1	0	0	0	0	0	0	0	

k127_17564300_S_bin.29_2	0	0	0	0	0	0	0	

k127_17564300_S_bin.29_3	0	0	0	0	0	0	0	

k127_17564300_S_bin.29_4	0	0	0	0	0	0	0	

k127_17564300_S_bin.29_5	0	0	0	0	0	0	0	

k127_17564300_S_bin.29_6	0	0	0	0	0	0	0	

k127_17564300_S_bin.29_7	0	0	0	0	0	0	0	

k127_17564425_S_bin.61_1	0	0	0	0	0	0	0	

k127_17564425_S_bin.61_2	0	0	0	0	0	0	0	

k127_17565659_M_bin.8_1	0	0	0	0	0	0	1	

k127_17565659_M_bin.8_10	0	0	0	0	0	0	0	

k127_17565659_M_bin.8_11	0	0	0	0	0	0	0	

k127_17565659_M_bin.8_12	0	0	0	0	0	0	0	

k127_17565659_M_bin.8_13	0	0	0	0	0	0	0	

k127_17565659_M_bin.8_14	0	0	0	0	0	0	0	

k127_17565659_M_bin.8_2	0	0	0	0	0	0	0	

k127_17565659_M_bin.8_3	0	0	0	0	0	0	0	

k127_17565659_M_bin.8_4	0	0	0	0	0	0	0	

k127_17565659_M_bin.8_5	0	0	0	0	0	0	0	

k127_17565659_M_bin.8_6	0	0	0	0	0	0	0	

k127_17565659_M_bin.8_7	0	0	0	0	0	0	0	

k127_17565659_M_bin.8_8	0	0	0	0	0	0	0	

k127_17565659_M_bin.8_9	0	0	0	0	0	0	0	

k127_17568025_M_bin.8_1	0	0	0	0	0	0	0	

k127_17568025_M_bin.8_2	0	0	0	0	0	0	0	

k127_17568025_M_bin.8_3	0	0	0	0	0	0	0	

k127_17568025_M_bin.8_4	0	0	0	0	0	0	0	

k127_17568025_M_bin.8_5	0	0	0	0	0	0	0	

k127_17568718_S_bin.117_1	0	0	0	0	0	0	0	

k127_17568718_S_bin.117_2	0	0	0	0	0	0	0	

k127_17568718_S_bin.117_3	0	0	0	0	0	0	0	

k127_17568718_S_bin.117_4	0	0	0	0	0	0	0	

k127_17568718_S_bin.117_5	0	0	0	0	0	0	0	

k127_17568718_S_bin.117_6	0	0	0	0	0	0	0	

k127_17568718_S_bin.117_7	0	0	0	0	0	0	0	

k127_17568718_S_bin.117_8	0	0	0	0	0	0	0	

k127_17579776_M_bin.67_1	0	0	0	0	0	0	0	

k127_17579776_M_bin.67_2	0	0	0	0	0	0	0	

k127_17579776_M_bin.67_3	0	0	0	0	0	0	0	

k127_17579776_M_bin.67_4	0	0	0	0	0	0	0	

k127_17579776_M_bin.67_5	0	0	0	0	0	0	0	

k127_17579776_M_bin.67_6	0	0	0	0	0	0	0	

k127_17579776_M_bin.67_7	0	0	1	0	0	0	0	

k127_17581114_S_bin.61_1	0	0	0	0	0	0	0	

k127_17581114_S_bin.61_2	0	0	0	0	0	0	0	

k127_17581114_S_bin.61_3	0	0	0	0	0	0	0	

k127_17581114_S_bin.61_4	0	0	0	0	0	0	0	

k127_17581114_S_bin.61_5	0	0	0	0	0	0	0	

k127_17597099_S_bin.117_1	0	0	0	0	0	0	0	

k127_17597099_S_bin.117_2	0	0	0	0	0	0	0	

k127_17597099_S_bin.117_3	0	0	0	0	0	0	0	

k127_17597099_S_bin.117_4	0	0	0	0	0	0	0	

k127_17597099_S_bin.117_5	0	0	0	0	0	0	0	

k127_17606689_M_bin.47_1	0	0	0	0	0	0	0	

k127_17606689_M_bin.47_2	0	0	0	0	0	0	0	

k127_17606689_M_bin.47_3	0	0	0	0	0	0	0	

k127_17606689_M_bin.47_4	0	0	0	0	0	0	0	

k127_17606689_M_bin.47_5	0	0	0	0	0	0	0	

k127_17606689_M_bin.47_6	0	0	0	0	0	0	0	

k127_17606689_M_bin.47_7	0	0	0	0	0	0	0	

k127_17606689_M_bin.47_8	0	0	0	0	0	0	0	

k127_176094_S_bin.29_1	0	0	0	0	0	0	0	

k127_176094_S_bin.29_2	0	0	0	0	0	0	0	

k127_176094_S_bin.29_3	0	0	0	0	0	0	0	

k127_17619548_M_bin.52_1	0	0	0	0	0	0	0	

k127_17619548_M_bin.52_10	0	0	0	0	0	0	0	

k127_17619548_M_bin.52_11	0	0	0	0	0	0	0	

k127_17619548_M_bin.52_12	0	0	0	0	0	0	0	

k127_17619548_M_bin.52_2	0	0	0	0	0	0	0	

k127_17619548_M_bin.52_3	0	0	0	0	0	0	0	

k127_17619548_M_bin.52_4	0	0	0	0	0	0	0	

k127_17619548_M_bin.52_5	0	0	0	0	0	0	0	

k127_17619548_M_bin.52_6	0	0	0	0	0	0	0	

k127_17619548_M_bin.52_7	0	0	0	0	0	0	0	

k127_17619548_M_bin.52_8	0	0	0	0	0	0	0	

k127_17619548_M_bin.52_9	0	0	0	0	0	0	0	

k127_17629079_M_bin.47_1	0	0	0	0	0	0	0	

k127_17629079_M_bin.47_2	0	0	0	0	0	0	0	

k127_17629079_M_bin.47_3	0	0	0	0	0	0	0	

k127_17645306_M_bin.105_1	0	0	0	0	0	0	0	

k127_17645306_M_bin.105_10	0	0	0	0	0	0	0	

k127_17645306_M_bin.105_11	0	0	0	0	0	0	0	

k127_17645306_M_bin.105_12	0	0	0	0	0	0	0	

k127_17645306_M_bin.105_13	0	0	0	0	0	0	0	

k127_17645306_M_bin.105_14	0	0	0	0	0	0	0	

k127_17645306_M_bin.105_15	0	0	0	0	0	0	0	

k127_17645306_M_bin.105_16	0	0	0	0	0	0	0	

k127_17645306_M_bin.105_17	0	0	0	0	0	0	0	

k127_17645306_M_bin.105_18	0	0	1	0	0	0	0	

k127_17645306_M_bin.105_19	0	0	0	0	0	0	0	

k127_17645306_M_bin.105_2	0	0	0	0	0	0	0	

k127_17645306_M_bin.105_20	0	1	3	0	2	0	2	

k127_17645306_M_bin.105_21	0	0	0	0	0	0	0	

k127_17645306_M_bin.105_22	0	0	0	0	0	0	0	

k127_17645306_M_bin.105_23	0	0	0	1	0	0	0	

k127_17645306_M_bin.105_24	0	0	0	0	0	0	0	

k127_17645306_M_bin.105_25	0	0	0	0	0	0	0	

k127_17645306_M_bin.105_26	0	0	0	0	0	0	0	

k127_17645306_M_bin.105_27	0	0	0	0	0	0	0	

k127_17645306_M_bin.105_28	0	0	0	0	0	0	0	

k127_17645306_M_bin.105_29	0	0	0	0	0	0	0	

k127_17645306_M_bin.105_3	0	0	0	0	0	0	0	

k127_17645306_M_bin.105_30	1	1	0	0	0	0	0	

k127_17645306_M_bin.105_31	0	0	0	0	0	0	0	

k127_17645306_M_bin.105_32	0	0	0	0	0	0	0	

k127_17645306_M_bin.105_33	0	0	0	0	0	0	0	

k127_17645306_M_bin.105_34	0	0	0	0	0	0	0	

k127_17645306_M_bin.105_35	0	0	0	0	0	0	0	

k127_17645306_M_bin.105_36	0	0	0	0	0	0	0	

k127_17645306_M_bin.105_37	0	0	0	0	0	0	0	

k127_17645306_M_bin.105_38	0	0	0	0	0	0	0	

k127_17645306_M_bin.105_39	0	0	0	0	0	0	0	

k127_17645306_M_bin.105_4	0	0	0	0	0	0	0	

k127_17645306_M_bin.105_40	0	0	0	0	0	0	0	

k127_17645306_M_bin.105_41	0	0	0	0	0	0	0	

k127_17645306_M_bin.105_42	0	0	0	0	0	0	0	

k127_17645306_M_bin.105_43	0	0	0	0	0	0	0	

k127_17645306_M_bin.105_44	0	0	0	0	0	0	0	

k127_17645306_M_bin.105_45	0	0	0	1	0	0	0	

k127_17645306_M_bin.105_5	0	0	0	0	0	0	0	

k127_17645306_M_bin.105_6	0	0	0	0	0	0	0	

k127_17645306_M_bin.105_7	0	0	0	0	0	0	0	

k127_17645306_M_bin.105_8	0	0	0	0	0	0	0	

k127_17645306_M_bin.105_9	0	0	0	0	0	0	0	

k127_1764878_M_bin.8_1	0	0	0	0	0	0	0	

k127_1764878_M_bin.8_2	0	0	0	0	0	0	0	

k127_1764878_M_bin.8_3	0	0	0	0	0	0	0	

k127_1764878_M_bin.8_4	0	0	0	0	0	0	0	

k127_17653252_M_bin.8_1	0	0	0	0	0	0	0	

k127_17653252_M_bin.8_2	0	0	0	0	0	0	0	

k127_17653252_M_bin.8_3	0	0	0	0	0	0	0	

k127_17657078_M_bin.8_1	0	0	0	0	0	0	0	

k127_17657078_M_bin.8_2	0	0	0	0	0	0	0	

k127_17657078_M_bin.8_3	0	0	0	0	0	0	0	

k127_17657078_M_bin.8_4	0	0	0	0	0	0	0	

k127_17662337_M_bin.12_1	0	0	0	0	0	0	0	

k127_17662337_M_bin.12_2	0	0	0	0	0	0	0	

k127_17662337_M_bin.12_3	0	0	0	0	0	0	0	

k127_17662337_M_bin.12_4	0	0	0	0	0	0	0	

k127_17670164_M_bin.12_1	0	0	0	0	0	0	0	

k127_17670164_M_bin.12_2	0	0	1	0	0	0	0	

k127_17683779_M_bin.8_1	0	0	0	0	0	0	0	

k127_17683779_M_bin.8_2	0	0	0	0	0	0	0	

k127_17683779_M_bin.8_3	0	0	0	0	0	0	0	

k127_17683779_M_bin.8_4	0	0	0	0	0	0	2	

k127_17684793_M_bin.50_1	0	0	0	0	0	0	0	

k127_17684793_M_bin.50_2	0	0	0	0	0	1	0	

k127_17684793_M_bin.50_3	0	0	0	0	0	0	0	

k127_17684793_M_bin.50_4	0	0	0	0	0	0	0	

k127_17684793_M_bin.50_5	0	0	0	0	0	0	0	

k127_17684793_M_bin.50_6	0	0	0	0	0	0	0	

k127_17684793_M_bin.50_7	0	0	0	0	0	0	0	

k127_17699522_S_bin.28_1	0	0	0	0	0	0	0	

k127_17699522_S_bin.28_10	0	0	0	0	0	0	0	

k127_17699522_S_bin.28_11	0	0	0	0	0	0	0	

k127_17699522_S_bin.28_12	0	0	0	0	0	0	0	

k127_17699522_S_bin.28_13	0	0	1	0	0	0	0	

k127_17699522_S_bin.28_14	0	0	0	0	0	0	0	

k127_17699522_S_bin.28_15	0	0	0	0	0	0	0	

k127_17699522_S_bin.28_16	0	0	0	0	0	0	0	

k127_17699522_S_bin.28_17	0	0	0	0	0	0	0	

k127_17699522_S_bin.28_18	0	0	0	0	0	0	0	

k127_17699522_S_bin.28_19	0	0	0	0	0	0	0	

k127_17699522_S_bin.28_2	0	0	0	0	0	0	0	

k127_17699522_S_bin.28_20	0	0	0	0	0	0	0	

k127_17699522_S_bin.28_21	0	0	0	0	0	0	0	

k127_17699522_S_bin.28_22	0	0	0	0	0	0	0	

k127_17699522_S_bin.28_23	0	0	0	0	0	0	0	

k127_17699522_S_bin.28_24	0	0	0	0	0	0	0	

k127_17699522_S_bin.28_3	0	0	0	0	0	0	0	

k127_17699522_S_bin.28_4	0	0	0	0	0	0	0	

k127_17699522_S_bin.28_5	0	0	0	0	0	0	0	

k127_17699522_S_bin.28_6	0	0	0	0	0	0	0	

k127_17699522_S_bin.28_7	0	0	0	0	0	0	0	

k127_17699522_S_bin.28_8	0	0	0	0	0	0	0	

k127_17699522_S_bin.28_9	0	0	0	0	0	0	0	

k127_17715764_M_bin.105_1	0	0	0	0	0	0	0	

k127_17715764_M_bin.105_2	0	0	0	0	0	0	0	

k127_17715764_M_bin.105_3	0	0	0	0	0	0	0	

k127_17715764_M_bin.105_4	0	0	0	0	0	0	0	

k127_17715764_M_bin.105_5	0	0	0	0	0	0	0	

k127_17715764_M_bin.105_6	0	0	0	0	0	0	0	

k127_17715764_M_bin.105_7	0	0	0	0	0	0	0	

k127_17715764_M_bin.105_8	0	0	0	0	0	0	0	

k127_17716856_M_bin.67_1	0	0	0	0	0	0	0	

k127_17716856_M_bin.67_10	0	0	0	0	0	0	0	

k127_17716856_M_bin.67_11	0	0	0	0	0	0	0	

k127_17716856_M_bin.67_12	0	0	0	0	0	0	0	

k127_17716856_M_bin.67_2	0	0	0	0	0	0	0	

k127_17716856_M_bin.67_3	0	0	0	0	0	0	0	

k127_17716856_M_bin.67_4	0	0	0	0	0	0	0	

k127_17716856_M_bin.67_5	0	0	0	0	0	0	0	

k127_17716856_M_bin.67_6	0	0	0	0	0	0	0	

k127_17716856_M_bin.67_7	0	0	0	0	0	0	0	

k127_17716856_M_bin.67_8	0	0	0	0	0	0	0	

k127_17716856_M_bin.67_9	0	0	0	0	0	0	0	

k127_17718735_S_bin.61_1	0	0	0	0	0	0	0	

k127_17718735_S_bin.61_2	0	0	0	0	0	0	0	

k127_17718735_S_bin.61_3	0	0	0	0	0	0	0	

k127_17718735_S_bin.61_4	0	0	0	0	0	0	0	

k127_17720234_M_bin.8_1	0	0	0	0	0	0	0	

k127_17720234_M_bin.8_2	0	0	0	0	0	0	0	

k127_17720234_M_bin.8_3	0	0	0	0	0	0	0	

k127_17720234_M_bin.8_4	0	0	0	0	0	0	0	

k127_17731686_M_bin.47_1	0	0	0	0	0	0	0	

k127_17731686_M_bin.47_2	0	0	0	0	0	0	0	

k127_17731686_M_bin.47_3	0	0	0	0	0	0	0	

k127_17731686_M_bin.47_4	0	0	0	0	0	0	0	

k127_17737509_S_bin.61_1	0	0	0	0	0	0	0	

k127_17737509_S_bin.61_2	0	0	0	0	0	0	0	

k127_17737509_S_bin.61_3	0	0	0	0	0	0	0	

k127_17737509_S_bin.61_4	0	0	0	0	0	0	0	

k127_17737509_S_bin.61_5	0	0	0	0	0	0	0	

k127_17737509_S_bin.61_6	0	0	0	0	0	0	0	

k127_17737509_S_bin.61_7	0	0	0	0	0	0	0	

k127_177453_M_bin.50_1	0	0	0	0	0	0	0	

k127_177453_M_bin.50_2	0	0	0	0	0	0	0	

k127_177453_M_bin.50_3	0	0	0	0	0	0	0	

k127_177453_M_bin.50_4	0	0	0	0	0	0	0	

k127_17745841_M_bin.50_1	0	0	0	0	0	0	0	

k127_17745841_M_bin.50_2	0	0	0	0	0	0	0	

k127_17745841_M_bin.50_3	0	0	0	0	0	0	0	

k127_17745841_M_bin.50_4	0	0	0	0	0	0	0	

k127_17751960_M_bin.105_1	0	0	0	0	0	0	0	

k127_17751960_M_bin.105_10	0	0	0	0	0	0	0	

k127_17751960_M_bin.105_11	0	0	0	0	0	0	0	

k127_17751960_M_bin.105_12	0	0	0	0	0	0	0	

k127_17751960_M_bin.105_13	0	0	0	0	0	0	0	

k127_17751960_M_bin.105_2	0	0	0	0	0	0	0	

k127_17751960_M_bin.105_3	0	0	0	0	0	0	0	

k127_17751960_M_bin.105_4	0	0	0	0	0	0	0	

k127_17751960_M_bin.105_5	0	0	0	0	0	0	0	

k127_17751960_M_bin.105_6	0	0	0	0	0	0	0	

k127_17751960_M_bin.105_7	0	0	0	0	0	0	0	

k127_17751960_M_bin.105_8	0	0	0	0	0	0	0	

k127_17751960_M_bin.105_9	0	0	0	0	0	0	0	

k127_1776704_M_bin.12_1	0	0	0	0	0	0	0	

k127_1776704_M_bin.12_2	0	0	0	0	0	0	0	

k127_1776704_M_bin.12_3	0	0	0	0	0	0	0	

k127_1776704_M_bin.12_4	0	0	0	0	0	0	0	

k127_1776704_M_bin.12_5	0	0	0	0	0	0	0	

k127_17768931_S_bin.28_1	0	0	0	0	0	0	0	

k127_17768931_S_bin.28_2	0	0	0	0	0	0	0	

k127_17768931_S_bin.28_3	0	0	0	0	0	0	0	

k127_17768931_S_bin.28_4	0	0	0	0	0	0	0	

k127_17768931_S_bin.28_5	0	0	0	0	0	0	0	

k127_1777009_M_bin.8_1	0	0	0	0	0	0	0	

k127_1777009_M_bin.8_2	0	0	0	0	0	0	0	

k127_1777009_M_bin.8_3	0	0	0	0	0	0	0	

k127_1777009_M_bin.8_4	0	0	0	0	0	0	0	

k127_1777009_M_bin.8_5	1	3	0	0	0	1	0	

k127_1777009_M_bin.8_6	0	0	0	0	0	0	0	

k127_17778241_M_bin.47_1	0	0	0	0	0	0	0	

k127_17778241_M_bin.47_2	0	0	0	0	0	0	0	

k127_17786315_M_bin.21_1	0	0	0	0	0	0	0	

k127_17786315_M_bin.21_2	0	0	0	0	0	0	0	

k127_17786315_M_bin.21_3	0	0	0	0	0	0	0	

k127_17786315_M_bin.21_4	0	0	0	0	0	0	0	

k127_17787507_M_bin.21_1	0	0	0	0	0	0	0	

k127_17787507_M_bin.21_10	0	0	0	0	0	0	0	

k127_17787507_M_bin.21_11	0	0	0	0	0	0	0	

k127_17787507_M_bin.21_12	0	0	0	0	0	0	0	

k127_17787507_M_bin.21_13	0	0	0	0	0	0	0	

k127_17787507_M_bin.21_14	0	0	0	0	0	0	0	

k127_17787507_M_bin.21_15	0	0	0	0	0	0	0	

k127_17787507_M_bin.21_16	0	0	0	0	0	0	0	

k127_17787507_M_bin.21_17	0	0	0	0	0	0	0	

k127_17787507_M_bin.21_18	0	0	0	0	0	0	0	

k127_17787507_M_bin.21_19	1	0	0	0	0	0	0	

k127_17787507_M_bin.21_2	0	0	0	0	0	0	0	

k127_17787507_M_bin.21_3	0	0	0	0	0	0	0	

k127_17787507_M_bin.21_4	0	0	0	0	0	0	0	

k127_17787507_M_bin.21_5	0	0	0	0	0	0	0	

k127_17787507_M_bin.21_6	0	0	0	0	0	0	0	

k127_17787507_M_bin.21_7	0	0	0	0	0	0	0	

k127_17787507_M_bin.21_8	0	0	0	0	0	0	0	

k127_17787507_M_bin.21_9	4	7	2	2	3	4	2	

k127_17787594_S_bin.117_1	0	0	0	0	0	0	0	

k127_17787594_S_bin.117_10	0	0	0	0	0	0	0	

k127_17787594_S_bin.117_11	0	0	0	0	0	0	0	

k127_17787594_S_bin.117_2	0	0	0	0	0	0	0	

k127_17787594_S_bin.117_3	0	0	0	0	0	0	0	

k127_17787594_S_bin.117_4	0	0	0	0	0	0	0	

k127_17787594_S_bin.117_5	0	0	0	0	0	0	0	

k127_17787594_S_bin.117_6	0	0	0	0	0	0	0	

k127_17787594_S_bin.117_7	0	0	0	0	0	0	0	

k127_17787594_S_bin.117_8	0	0	0	0	0	0	0	

k127_17787594_S_bin.117_9	0	0	0	0	0	0	0	

k127_1779799_S_bin.29_1	4	2	3	0	1	3	1	

k127_1779799_S_bin.29_2	7	4	7	7	6	8	3	

k127_1779799_S_bin.29_3	0	0	0	0	0	0	0	

k127_1779799_S_bin.29_4	0	0	0	0	0	0	0	

k127_1779799_S_bin.29_5	0	0	0	0	0	0	0	

k127_1779799_S_bin.29_6	0	0	0	0	0	0	0	

k127_1779799_S_bin.29_7	0	0	0	0	0	0	0	

k127_1779799_S_bin.29_8	0	0	0	0	0	0	0	

k127_1779799_S_bin.29_9	0	0	0	0	0	0	0	

k127_17800365_M_bin.8_1	0	0	0	0	0	0	0	

k127_17800365_M_bin.8_10	0	0	0	0	0	0	0	

k127_17800365_M_bin.8_11	0	0	0	0	0	0	0	

k127_17800365_M_bin.8_12	0	0	0	0	0	0	0	

k127_17800365_M_bin.8_13	0	0	0	0	0	0	0	

k127_17800365_M_bin.8_14	0	0	0	0	0	0	0	

k127_17800365_M_bin.8_15	0	0	0	0	0	0	0	

k127_17800365_M_bin.8_16	0	0	0	0	0	0	0	

k127_17800365_M_bin.8_17	0	0	0	0	0	0	0	

k127_17800365_M_bin.8_18	0	0	0	0	0	0	0	

k127_17800365_M_bin.8_2	0	0	0	0	0	0	0	

k127_17800365_M_bin.8_3	0	0	0	0	0	0	0	

k127_17800365_M_bin.8_4	0	0	0	0	0	0	0	

k127_17800365_M_bin.8_5	0	0	0	0	0	0	0	

k127_17800365_M_bin.8_6	0	0	0	0	0	0	0	

k127_17800365_M_bin.8_7	0	0	0	0	0	0	0	

k127_17800365_M_bin.8_8	0	0	0	0	0	0	0	

k127_17800365_M_bin.8_9	0	0	0	0	0	0	0	

k127_17801075_M_bin.47_1	0	0	0	0	0	0	0	

k127_17801075_M_bin.47_2	0	0	0	0	0	0	0	

k127_17801075_M_bin.47_3	0	0	0	0	0	0	0	

